image,label
VOC2007/JPEGImages/5d54a2d0231f224b592725f9fef0d90.jpg,VOC2007/Annotations/5d54a2d0231f224b592725f9fef0d90.xml
VOC2007/JPEGImages/img_000478.jpg,VOC2007/Annotations/img_000478.xml
VOC2007/JPEGImages/img_570.jpg,VOC2007/Annotations/img_570.xml
VOC2007/JPEGImages/img_000460.jpg,VOC2007/Annotations/img_000460.xml
VOC2007/JPEGImages/img_000475.jpg,VOC2007/Annotations/img_000475.xml
VOC2007/JPEGImages/img_000480.jpg,VOC2007/Annotations/img_000480.xml
VOC2007/JPEGImages/img_001035.jpg,VOC2007/Annotations/img_001035.xml
VOC2007/JPEGImages/img_001040.jpg,VOC2007/Annotations/img_001040.xml
VOC2007/JPEGImages/img_001045.jpg,VOC2007/Annotations/img_001045.xml
VOC2007/JPEGImages/img_10381.jpg,VOC2007/Annotations/img_10381.xml
VOC2007/JPEGImages/img_10598.jpg,VOC2007/Annotations/img_10598.xml
VOC2007/JPEGImages/img_10599.jpg,VOC2007/Annotations/img_10599.xml
VOC2007/JPEGImages/img_10666.jpg,VOC2007/Annotations/img_10666.xml
VOC2007/JPEGImages/img_10723.jpg,VOC2007/Annotations/img_10723.xml
VOC2007/JPEGImages/img_13319.jpg,VOC2007/Annotations/img_13319.xml
VOC2007/JPEGImages/img_13511.jpg,VOC2007/Annotations/img_13511.xml
VOC2007/JPEGImages/img_15279.jpg,VOC2007/Annotations/img_15279.xml
VOC2007/JPEGImages/img_17579.jpg,VOC2007/Annotations/img_17579.xml
VOC2007/JPEGImages/img_17581.jpg,VOC2007/Annotations/img_17581.xml
VOC2007/JPEGImages/img_17648.jpg,VOC2007/Annotations/img_17648.xml
VOC2007/JPEGImages/img_17860.jpg,VOC2007/Annotations/img_17860.xml
VOC2007/JPEGImages/img_19195.jpg,VOC2007/Annotations/img_19195.xml
VOC2007/JPEGImages/img_19261.jpg,VOC2007/Annotations/img_19261.xml
VOC2007/JPEGImages/img_19319.jpg,VOC2007/Annotations/img_19319.xml
VOC2007/JPEGImages/img_19391.jpg,VOC2007/Annotations/img_19391.xml
VOC2007/JPEGImages/img_19466.jpg,VOC2007/Annotations/img_19466.xml
VOC2007/JPEGImages/img_19521.jpg,VOC2007/Annotations/img_19521.xml
VOC2007/JPEGImages/img_19650.jpg,VOC2007/Annotations/img_19650.xml
VOC2007/JPEGImages/img_3599.jpg,VOC2007/Annotations/img_3599.xml
VOC2007/JPEGImages/img_3789.jpg,VOC2007/Annotations/img_3789.xml
VOC2007/JPEGImages/img_8235.jpg,VOC2007/Annotations/img_8235.xml
VOC2007/JPEGImages/img_8351.jpg,VOC2007/Annotations/img_8351.xml
VOC2007/JPEGImages/img_8560.jpg,VOC2007/Annotations/img_8560.xml
VOC2007/JPEGImages/img_8598.jpg,VOC2007/Annotations/img_8598.xml
VOC2007/JPEGImages/img_9691.jpg,VOC2007/Annotations/img_9691.xml
VOC2007/JPEGImages/img_9740.jpg,VOC2007/Annotations/img_9740.xml
VOC2007/JPEGImages/img_9835.jpg,VOC2007/Annotations/img_9835.xml
VOC2007/JPEGImages/img_9877.jpg,VOC2007/Annotations/img_9877.xml
VOC2007/JPEGImages/img_9878.jpg,VOC2007/Annotations/img_9878.xml
VOC2007/JPEGImages/img_16603.jpg,VOC2007/Annotations/img_16603.xml
VOC2007/JPEGImages/img_18677.jpg,VOC2007/Annotations/img_18677.xml
VOC2007/JPEGImages/img_000991.jpg,VOC2007/Annotations/img_000991.xml
VOC2007/JPEGImages/img_17066.jpg,VOC2007/Annotations/img_17066.xml
VOC2007/JPEGImages/img_17067.jpg,VOC2007/Annotations/img_17067.xml
VOC2007/JPEGImages/img_11323.jpg,VOC2007/Annotations/img_11323.xml
VOC2007/JPEGImages/img_18671.jpg,VOC2007/Annotations/img_18671.xml
VOC2007/JPEGImages/img_18869.jpg,VOC2007/Annotations/img_18869.xml
VOC2007/JPEGImages/img_18877.jpg,VOC2007/Annotations/img_18877.xml
VOC2007/JPEGImages/img_15934.jpg,VOC2007/Annotations/img_15934.xml
VOC2007/JPEGImages/img_2885.jpg,VOC2007/Annotations/img_2885.xml
VOC2007/JPEGImages/img_6779.jpg,VOC2007/Annotations/img_6779.xml
VOC2007/JPEGImages/img_7107.jpg,VOC2007/Annotations/img_7107.xml
VOC2007/JPEGImages/img_7148.jpg,VOC2007/Annotations/img_7148.xml
VOC2007/JPEGImages/img_7494.jpg,VOC2007/Annotations/img_7494.xml
VOC2007/JPEGImages/img_000470.jpg,VOC2007/Annotations/img_000470.xml
VOC2007/JPEGImages/img_000931.jpg,VOC2007/Annotations/img_000931.xml
VOC2007/JPEGImages/img_001031.jpg,VOC2007/Annotations/img_001031.xml
VOC2007/JPEGImages/img_001047.jpg,VOC2007/Annotations/img_001047.xml
VOC2007/JPEGImages/img_10659.jpg,VOC2007/Annotations/img_10659.xml
VOC2007/JPEGImages/img_10680.jpg,VOC2007/Annotations/img_10680.xml
VOC2007/JPEGImages/img_12520.jpg,VOC2007/Annotations/img_12520.xml
VOC2007/JPEGImages/img_13593.jpg,VOC2007/Annotations/img_13593.xml
VOC2007/JPEGImages/img_13693.jpg,VOC2007/Annotations/img_13693.xml
VOC2007/JPEGImages/img_13694.jpg,VOC2007/Annotations/img_13694.xml
VOC2007/JPEGImages/img_13779.jpg,VOC2007/Annotations/img_13779.xml
VOC2007/JPEGImages/img_17739.jpg,VOC2007/Annotations/img_17739.xml
VOC2007/JPEGImages/img_19289.jpg,VOC2007/Annotations/img_19289.xml
VOC2007/JPEGImages/img_19549.jpg,VOC2007/Annotations/img_19549.xml
VOC2007/JPEGImages/img_3666.jpg,VOC2007/Annotations/img_3666.xml
VOC2007/JPEGImages/img_4617.jpg,VOC2007/Annotations/img_4617.xml
VOC2007/JPEGImages/img_4871.jpg,VOC2007/Annotations/img_4871.xml
VOC2007/JPEGImages/img_5180.jpg,VOC2007/Annotations/img_5180.xml
VOC2007/JPEGImages/img_633.jpg,VOC2007/Annotations/img_633.xml
VOC2007/JPEGImages/img_7911.jpg,VOC2007/Annotations/img_7911.xml
VOC2007/JPEGImages/img_8367.jpg,VOC2007/Annotations/img_8367.xml
VOC2007/JPEGImages/img_8437.jpg,VOC2007/Annotations/img_8437.xml
VOC2007/JPEGImages/img_18971.jpg,VOC2007/Annotations/img_18971.xml
VOC2007/JPEGImages/img_17054.jpg,VOC2007/Annotations/img_17054.xml
VOC2007/JPEGImages/img_17055.jpg,VOC2007/Annotations/img_17055.xml
VOC2007/JPEGImages/img_18925.jpg,VOC2007/Annotations/img_18925.xml
VOC2007/JPEGImages/img_2557.jpg,VOC2007/Annotations/img_2557.xml
VOC2007/JPEGImages/img_000917.jpg,VOC2007/Annotations/img_000917.xml
VOC2007/JPEGImages/img_11621.jpg,VOC2007/Annotations/img_11621.xml
VOC2007/JPEGImages/img_13687.jpg,VOC2007/Annotations/img_13687.xml
VOC2007/JPEGImages/img_6949.jpg,VOC2007/Annotations/img_6949.xml
VOC2007/JPEGImages/img_000467.jpg,VOC2007/Annotations/img_000467.xml
VOC2007/JPEGImages/img_13335.jpg,VOC2007/Annotations/img_13335.xml
VOC2007/JPEGImages/img_13361.jpg,VOC2007/Annotations/img_13361.xml
VOC2007/JPEGImages/img_1674.jpg,VOC2007/Annotations/img_1674.xml
