image,label
VOC2007/JPEGImages\5d54a2d0231f224b592725f9fef0d90.jpg,VOC2007/Annotations\5d54a2d0231f224b592725f9fef0d90.xml
VOC2007/JPEGImages\img_000478.jpg,VOC2007/Annotations\img_000478.xml
VOC2007/JPEGImages\img_570.jpg,VOC2007/Annotations\img_570.xml
VOC2007/JPEGImages\img_000460.jpg,VOC2007/Annotations\img_000460.xml
VOC2007/JPEGImages\img_000475.jpg,VOC2007/Annotations\img_000475.xml
VOC2007/JPEGImages\img_000480.jpg,VOC2007/Annotations\img_000480.xml
VOC2007/JPEGImages\img_001035.jpg,VOC2007/Annotations\img_001035.xml
VOC2007/JPEGImages\img_001040.jpg,VOC2007/Annotations\img_001040.xml
VOC2007/JPEGImages\img_001045.jpg,VOC2007/Annotations\img_001045.xml
VOC2007/JPEGImages\img_10381.jpg,VOC2007/Annotations\img_10381.xml
VOC2007/JPEGImages\img_10598.jpg,VOC2007/Annotations\img_10598.xml
VOC2007/JPEGImages\img_10599.jpg,VOC2007/Annotations\img_10599.xml
VOC2007/JPEGImages\img_10666.jpg,VOC2007/Annotations\img_10666.xml
VOC2007/JPEGImages\img_10723.jpg,VOC2007/Annotations\img_10723.xml
VOC2007/JPEGImages\img_13319.jpg,VOC2007/Annotations\img_13319.xml
VOC2007/JPEGImages\img_13511.jpg,VOC2007/Annotations\img_13511.xml
VOC2007/JPEGImages\img_15279.jpg,VOC2007/Annotations\img_15279.xml
VOC2007/JPEGImages\img_17579.jpg,VOC2007/Annotations\img_17579.xml
VOC2007/JPEGImages\img_17581.jpg,VOC2007/Annotations\img_17581.xml
VOC2007/JPEGImages\img_17648.jpg,VOC2007/Annotations\img_17648.xml
VOC2007/JPEGImages\img_17860.jpg,VOC2007/Annotations\img_17860.xml
VOC2007/JPEGImages\img_19195.jpg,VOC2007/Annotations\img_19195.xml
VOC2007/JPEGImages\img_19261.jpg,VOC2007/Annotations\img_19261.xml
VOC2007/JPEGImages\img_19319.jpg,VOC2007/Annotations\img_19319.xml
VOC2007/JPEGImages\img_19391.jpg,VOC2007/Annotations\img_19391.xml
VOC2007/JPEGImages\img_19466.jpg,VOC2007/Annotations\img_19466.xml
VOC2007/JPEGImages\img_19521.jpg,VOC2007/Annotations\img_19521.xml
VOC2007/JPEGImages\img_19650.jpg,VOC2007/Annotations\img_19650.xml
VOC2007/JPEGImages\img_3599.jpg,VOC2007/Annotations\img_3599.xml
VOC2007/JPEGImages\img_3789.jpg,VOC2007/Annotations\img_3789.xml
VOC2007/JPEGImages\img_8235.jpg,VOC2007/Annotations\img_8235.xml
VOC2007/JPEGImages\img_8351.jpg,VOC2007/Annotations\img_8351.xml
VOC2007/JPEGImages\img_8560.jpg,VOC2007/Annotations\img_8560.xml
VOC2007/JPEGImages\img_8598.jpg,VOC2007/Annotations\img_8598.xml
VOC2007/JPEGImages\img_9691.jpg,VOC2007/Annotations\img_9691.xml
VOC2007/JPEGImages\img_9740.jpg,VOC2007/Annotations\img_9740.xml
VOC2007/JPEGImages\img_9835.jpg,VOC2007/Annotations\img_9835.xml
VOC2007/JPEGImages\img_9877.jpg,VOC2007/Annotations\img_9877.xml
VOC2007/JPEGImages\img_9878.jpg,VOC2007/Annotations\img_9878.xml
VOC2007/JPEGImages\img_16603.jpg,VOC2007/Annotations\img_16603.xml
VOC2007/JPEGImages\img_18677.jpg,VOC2007/Annotations\img_18677.xml
VOC2007/JPEGImages\img_000991.jpg,VOC2007/Annotations\img_000991.xml
VOC2007/JPEGImages\img_17066.jpg,VOC2007/Annotations\img_17066.xml
VOC2007/JPEGImages\img_17067.jpg,VOC2007/Annotations\img_17067.xml
VOC2007/JPEGImages\img_11323.jpg,VOC2007/Annotations\img_11323.xml
VOC2007/JPEGImages\img_18671.jpg,VOC2007/Annotations\img_18671.xml
VOC2007/JPEGImages\img_18869.jpg,VOC2007/Annotations\img_18869.xml
VOC2007/JPEGImages\img_18877.jpg,VOC2007/Annotations\img_18877.xml
VOC2007/JPEGImages\img_15934.jpg,VOC2007/Annotations\img_15934.xml
VOC2007/JPEGImages\img_2885.jpg,VOC2007/Annotations\img_2885.xml
